ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/DatasmithContent/Blueprints/FBXImporter/Animation/DeltaGenAnimationTrackType,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/Animation/DeltaGenTimeline->/DatasmithContent/Blueprints/FBXImporter/Animation/DeltaGenTimelineAnimation->/DatasmithContent/Blueprints/FBXImporter/Animation/DeltaGenAnimationTrack->/DatasmithContent/Blueprints/FBXImporter/Animation/DeltaGenAnimationTrackType,1929,None
0,/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationTrackComponent,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/Animation/VREDTimeline->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDTimelineAnimation->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationTrack->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationTrackComponent,1427,None
0,/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationTrackType,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/Animation/VREDTimeline->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDTimelineAnimation->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationTrack->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationTrackType,1570,None
0,/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimCurveComponent,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/UI/VREDVariantSampleUI->/DatasmithContent/Blueprints/FBXImporter/Variants/VREDVariantsSelector->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationPlayer->/DatasmithContent/Blueprints/FBXImporter/BP_VREDAnimNode->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimCurveComponent,1392,None
0,/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimCurveType,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/UI/VREDVariantSampleUI->/DatasmithContent/Blueprints/FBXImporter/Variants/VREDVariantsSelector->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationPlayer->/DatasmithContent/Blueprints/FBXImporter/BP_VREDAnimNode->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimCurveType,1526,None
0,/DatasmithContent/Blueprints/FBXImporter/ArrayOfActor,UserDefinedStruct,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/BP_Animation->/DatasmithContent/Blueprints/FBXImporter/BP_AnimatedNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneRoot->/DatasmithContent/Blueprints/FBXImporter/ArrayOfActor,1509,None
0,/DatasmithContent/Blueprints/FBXImporter/ArrayOfSwitch,UserDefinedStruct,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/BP_Animation->/DatasmithContent/Blueprints/FBXImporter/BP_AnimatedNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneRoot->/DatasmithContent/Blueprints/FBXImporter/ArrayOfSwitch,1508,None
0,/DatasmithContent/Blueprints/FBXImporter/BP_SceneNode,Blueprint,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/UI/VREDAnimationSampleUI->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationPlayer->/DatasmithContent/Blueprints/FBXImporter/BP_SceneRoot->/DatasmithContent/Blueprints/FBXImporter/BP_SceneNode,13659,None
0,/DatasmithContent/Blueprints/FBXImporter/BP_SceneRoot,Blueprint,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/BP_Animation->/DatasmithContent/Blueprints/FBXImporter/BP_AnimatedNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneRoot,19827,None
0,/DatasmithContent/Blueprints/FBXImporter/BP_Switch,Blueprint,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/BP_Animation->/DatasmithContent/Blueprints/FBXImporter/BP_AnimatedNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneNode->/DatasmithContent/Blueprints/FBXImporter/BP_SceneRoot->/DatasmithContent/Blueprints/FBXImporter/BP_Switch,22037,None
0,/DatasmithContent/Blueprints/FBXImporter/FBXImporterUtils,Blueprint,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/UI/VREDAnimationSampleUI->/DatasmithContent/Blueprints/FBXImporter/Animation/VREDAnimationPlayer->/DatasmithContent/Blueprints/FBXImporter/FBXImporterUtils,10332,None
0,/DatasmithContent/Blueprints/FBXImporter/Variants/VariantSwitchType,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/Variants/BP_VariantSelector->/DatasmithContent/Blueprints/FBXImporter/Variants/VariantSwitchType,1679,None
0,/DatasmithContent/Blueprints/FBXImporter/Variants/VREDVariantSwitchType,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/Variants/VREDVariantSwitch->/DatasmithContent/Blueprints/FBXImporter/Variants/VREDVariantSwitchType,2015,None
0,/DatasmithContent/Blueprints/FBXImporter/Variants/VREDVariantType,UserDefinedEnum,Soft From Unassigned Package? Best Guess: /DatasmithContent/Blueprints/FBXImporter/UI/VREDVariantSampleUI->/DatasmithContent/Blueprints/FBXImporter/Variants/VREDVariantType,1952,None
0,/Engine/Animation/DefaultAnimCurveCompressionSettings,AnimCurveCompressionSettings,Hard,1046,None
0,/Engine/ArtTools/RenderToTexture/Enums/EFloatTypes,UserDefinedEnum,Hard,1458,None
0,/Engine/ArtTools/RenderToTexture/Enums/EIntTypes,UserDefinedEnum,Hard,1434,None
0,/Engine/ArtTools/RenderToTexture/Enums/RenderToTexture_Enum,UserDefinedEnum,Hard,2408,None
0,/Engine/ArtTools/RenderToTexture/Enums/RenderToTexture_Flipbook_Enum,UserDefinedEnum,Hard,1526,None
0,/Engine/ArtTools/RenderToTexture/Enums/RenderToTexture_Imposter_Enum,UserDefinedEnum,Hard,1304,None
0,/Engine/ArtTools/RenderToTexture/Macros/RenderToTextureFunctionLibrary,Blueprint,Hard,31461,None
0,/Engine/ArtTools/RenderToTexture/Macros/RenderToTextureMacros,Blueprint,Hard,1122,None
0,/Engine/ArtTools/RenderToTexture/Meshes/S_1_Unit_Plane,StaticMesh,Hard,5750,None
0,/Engine/BasicShapes/Cone,StaticMesh,Hard,38247,None
0,/Engine/BasicShapes/Cube,StaticMesh,Hard,8608,None
0,/Engine/BasicShapes/Cylinder,StaticMesh,Hard,56133,None
